elster-kromschroeder can-bus address scanner and test utility
copyright (c) 2014 Jürg Müller, CH-5524

  { 0x180, 0x0001, 0x0000},  // FEHLERMELDUNG: 0
  { 0x180, 0x0003, 0x01f4},  // SPEICHERSOLLTEMP: 50.0
  { 0x180, 0x000c, 0x00a8},  // AUSSENTEMP: 16.8
  { 0x180, 0x000d, 0x00eb},  // SAMMLERISTTEMP: 23.5
  { 0x180, 0x000e, 0x020b},  // SPEICHERISTTEMP: 52.3
  { 0x180, 0x000f, 0x00eb},  // VORLAUFISTTEMP: 23.5
  { 0x180, 0x0013, 0x01f4},  // EINSTELL_SPEICHERSOLLTEMP: 50.0
  { 0x180, 0x0014, 0x00f9},  // VERDAMPFERTEMP: -7
  { 0x180, 0x0016, 0x00eb},  // RUECKLAUFISTTEMP: 23.5
  { 0x180, 0x001a, 0xfda8},  // KUNDENKENNUNG: -600
  { 0x180, 0x0027, 0x0258},  // HYSTERESE2: 600
  { 0x180, 0x0052, 0xe800},  // BRENNER: 232
  { 0x180, 0x0056, 0x0000},  // DCF: 0
  { 0x180, 0x0057, 0x0000},  // MISCHER_AUF: 0
  { 0x180, 0x0060, 0x0000},  // SCHALTFKT_IWS: 0
  { 0x180, 0x0067, 0x0002},  // SONDERKREIS_STATUS: 512
  { 0x180, 0x008e, 0x0005},  // FEUCHTE_HYSTERESE: 5
  { 0x180, 0x00ef, 0x0000},  // LOAD_STANDARD: 0
  { 0x180, 0x00fb, 0x0000},  // SYSTEM_RESET: 0
  { 0x180, 0x0109, 0x0000},  // RAUMFUEHLERKORREKTUR: 0
  { 0x180, 0x010c, 0x0100},  // AUSSENTEMPVERZOEGERUNG: 25.6
  { 0x180, 0x0110, 0x0000},  // MAX_VORVERLEGUNG: 0
  { 0x180, 0x0112, 0x0b00},  // PROGRAMMSCHALTER: ?
  { 0x180, 0x0116, 0x00aa},  // HEIZGRENZE_TAG: 170
  { 0x180, 0x011a, 0x0000},  // ESTRICHFUNKTION: 0
  { 0x180, 0x011b, 0x0100},  // FERIENANFANG_TAG: 1
  { 0x180, 0x011c, 0x0100},  // FERIENANFANG_MONAT: 1
  { 0x180, 0x011d, 0x0000},  // FERIENANFANG_JAHR: 0
  { 0x180, 0x011e, 0x0100},  // FERIENENDE_TAG: 1
  { 0x180, 0x011f, 0x0100},  // FERIENENDE_MONAT: 1
  { 0x180, 0x0120, 0x0000},  // FERIENENDE_JAHR: 0
  { 0x180, 0x0121, 0x0000},  // WOCHENTAG: 0
  { 0x180, 0x0122, 0x1500},  // TAG: 21
  { 0x180, 0x0123, 0x0a00},  // MONAT: 10
  { 0x180, 0x0124, 0x1300},  // JAHR: 19
  { 0x180, 0x0125, 0x1100},  // STUNDE: 17
  { 0x180, 0x0126, 0x1000},  // MINUTE: 16
  { 0x180, 0x0140, 0x0014},  // WW_HYSTERSE: 20
  { 0x180, 0x0148, 0xf02d},  // GERAETE_KENNUNG: -4051
  { 0x180, 0x0162, 0x0064},  // KESSELREGLER_I_ANTEIL: 100
  { 0x180, 0x0176, 0x0505},  // BETRIEBS_STATUS: 1285
  { 0x180, 0x0177, 0x0000},  // ZUSTAND_BCC: 0
  { 0x180, 0x0180, 0x000c},  // MAX_WW_LADEZEIT: 12
  { 0x180, 0x019a, 0x02f7},  // SOFTWARE_VERSION: 759
  { 0x180, 0x01ac, 0xff9c},  // BIVALENTPARALLELTEMPERATUR_HZG: -10.0
  { 0x180, 0x01b8, 0x0050},  // SOLARDIFFERENZ: 8.0
  { 0x180, 0x01ba, 0x0001},  // ESTRICH_STEIGUNG_PRO_TAG: 1
  { 0x180, 0x01bb, 0x00fa},  // ESTRICH_SOCKELTEMPERATUR: 25.0
  { 0x180, 0x01bc, 0x0003},  // ESTRICH_HALTEN_SOCKELTEMPERATUR: 3
  { 0x180, 0x01bd, 0x0190},  // ESTRICH_MAX_TEMPERATUR: 40.0
  { 0x180, 0x01be, 0x0003},  // ESTRICH_HALTEN_MAX_TEMPERATUR: 3
  { 0x180, 0x01d3, 0x0005},  // EVU: 5
  { 0x180, 0x01da, 0x00cc},  // VOLUMENSTROM: 204
  { 0x180, 0x0265, 0x010d},  // HEISSGAS_TEMP: 26.9
  { 0x180, 0x027a, 0x0000},  // GESPEICHERTE_FEHLER_LOESCHEN: 0
