./can_scan slcan0 6A1 301
  
  
  { 0x301, 0x0004, 0x0122},  // VORLAUFSOLLTEMP: 29.0
  { 0x301, 0x0005, 0x00be},  // RAUMSOLLTEMP_I: 19.0
  { 0x301, 0x0008, 0x00be},  // RAUMSOLLTEMP_NACHT: 19.0
  { 0x301, 0x000f, 0x0103},  // VORLAUFISTTEMP: 25.9
  { 0x301, 0x0011, 0x00fa},  // RAUMISTTEMP: 25.0
  { 0x301, 0x0012, 0x00fa},  // VERSTELLTE_RAUMSOLLTEMP: 25.0
  { 0x301, 0x0028, 0x0226},  // MAX_TEMP_KESSEL: 55.0
  { 0x301, 0x0075, 0x0000},  // FEUCHTE: 0.0
  { 0x301, 0x0109, 0x0000},  // RAUMFUEHLERKORREKTUR: 0
  { 0x301, 0x010e, 0x0023},  // HEIZKURVE: 0.35
  { 0x301, 0x010f, 0x0000},  // RAUMEINFLUSS: 0
  { 0x301, 0x0129, 0x00dc},  // VORLAUF_NENN_SOLLWERT: 220
  { 0x301, 0x012b, 0x0064},  // MIN_TEMP_HZK: 10.0
  { 0x301, 0x013d, 0x0064},  // ABWESENHEITSTEMP: 10.0
  { 0x301, 0x0264, 0x0000},  // TAUPUNKT_TEMP: 0.0
  { 0x301, 0x0287, 0x0000},  // KUEHLMODE: 0
  { 0x301, 0x03a0, 0x001e},  // LADEPUMPE_PUFFER_DREHZAL_3: 30
  { 0x301, 0x03a5, 0x00fa},  // KONFIGURATION_KUEHLUNG: 250
  { 0x301, 0x03a6, 0x00fa},  // MISCHER_KP: 250
  { 0x301, 0x0569, 0x00fa},  // WE_MODGRAD_IST_16: 250
  { 0x301, 0x056a, 0x012c},  // KUEHL_RAUMSOLL_TAG: 300
  { 0x301, 0x056b, 0x00fa},  // KUEHL_RAUMSOLL_ABWESEND: 250
  { 0x301, 0x0582, 0x00b4},  // EINSTELLSPEICHER_ABWESEND: 180
  { 0x301, 0x0583, 0x000f},  // KUEL_VORLAUFSOLLTEMP: 15
  { 0x301, 0x0584, 0x0005},  // KUEHL_HYST_SOLLTEMP: 5
  { 0x301, 0x059d, 0x001e},  // VERFLUESSIGER_TEMP: 30
  { 0x301, 0x059e, 0x001e},  // ANTEIL_VORLAUF: 30
  { 0x301, 0x0613, 0x0000},  // LUEFT_STUFE_HAND: 0
  { 0x301, 0x0651, 0x000a},  // TEST_OBJEKT_16: 10
  { 0x301, 0x0662, 0x0000},  // TEST_OBJEKT_33: 0
  { 0x301, 0x1410, 0x0060},  // HEIZPROG_1_MO: 00:00-24:00
  { 0x301, 0x1411, 0x8080},  // HEIZPROG_1_MO_SCHALT_2: not used time domain
  { 0x301, 0x1412, 0x8080},  // HEIZPROG_1_MO_SCHALT_3: not used time domain
  { 0x301, 0x1420, 0x0060},  // HEIZPROG_1_DI: 00:00-24:00
  { 0x301, 0x1421, 0x8080},  // HEIZPROG_1_DI_SCHALT_2: not used time domain
  { 0x301, 0x1422, 0x8080},  // HEIZPROG_1_DI_SCHALT_3: not used time domain
  { 0x301, 0x1430, 0x0060},  // HEIZPROG_1_MI: 00:00-24:00
  { 0x301, 0x1431, 0x8080},  // HEIZPROG_1_MI_SCHALT_2: not used time domain
  { 0x301, 0x1432, 0x8080},  // HEIZPROG_1_MI_SCHALT_3: not used time domain
  { 0x301, 0x1440, 0x0060},  // HEIZPROG_1_DO: 00:00-24:00
  { 0x301, 0x1441, 0x8080},  // HEIZPROG_1_DO_SCHALT_2: not used time domain
  { 0x301, 0x1442, 0x8080},  // HEIZPROG_1_DO_SCHALT_3: not used time domain
  { 0x301, 0x1450, 0x0060},  // HEIZPROG_1_FR: 00:00-24:00
  { 0x301, 0x1451, 0x8080},  // HEIZPROG_1_FR_SCHALT_2: not used time domain
  { 0x301, 0x1452, 0x8080},  // HEIZPROG_1_FR_SCHALT_3: not used time domain
  { 0x301, 0x1460, 0x0060},  // HEIZPROG_1_SA: 00:00-24:00
  { 0x301, 0x1461, 0x8080},  // HEIZPROG_1_SA_SCHALT_2: not used time domain
  { 0x301, 0x1462, 0x8080},  // HEIZPROG_1_SA_SCHALT_3: not used time domain
  { 0x301, 0x1470, 0x0060},  // HEIZPROG_1_SO: 00:00-24:00
  { 0x301, 0x1471, 0x8080},  // HEIZPROG_1_SO_SCHALT_2: not used time domain
  { 0x301, 0x1472, 0x8080},  // HEIZPROG_1_SO_SCHALT_3: not used time domain
  { 0x301, 0x1480, 0x0060},  // HEIZPROG_1_MO_FR: 96
  { 0x301, 0x1481, 0x8080},  // HEIZPROG_1_MO_FR_SCHALT_2: -32640
  { 0x301, 0x1482, 0x8080},  // HEIZPROG_1_MO_FR_SCHALT_3: -32640
  { 0x301, 0x1490, 0x0060},  // HEIZPROG_1_SA_SO: 96
  { 0x301, 0x1491, 0x8080},  // HEIZPROG_1_SA_SO_SCHALT_2: -32640
  { 0x301, 0x1492, 0x8080},  // HEIZPROG_1_SA_SO_SCHALT_3: -32640
  { 0x301, 0x14a0, 0x0060},  // HEIZPROG_1_MO_SO: 96
  { 0x301, 0x14a1, 0x8080},  // HEIZPROG_1_MO_SO_SCHALT_2: -32640
  { 0x301, 0x14a2, 0x8080},  // HEIZPROG_1_MO_SO_SCHALT_3: -32640
  { 0x301, 0x1510, 0x0060},  // HEIZPROG_2_MO: 00:00-24:00
  { 0x301, 0x1511, 0x8080},  // HEIZPROG_2_MO_SCHALT_2: not used time domain
  { 0x301, 0x1512, 0x8080},  // HEIZPROG_2_MO_SCHALT_3: not used time domain
  { 0x301, 0x1520, 0x0060},  // HEIZPROG_2_DI: 00:00-24:00
  { 0x301, 0x1521, 0x8080},  // HEIZPROG_2_DI_SCHALT_2: not used time domain
  { 0x301, 0x1522, 0x8080},  // HEIZPROG_2_DI_SCHALT_3: not used time domain
  { 0x301, 0x1530, 0x0060},  // HEIZPROG_2_MI: 00:00-24:00
  { 0x301, 0x1531, 0x8080},  // HEIZPROG_2_MI_SCHALT_2: not used time domain
  { 0x301, 0x1532, 0x8080},  // HEIZPROG_2_MI_SCHALT_3: not used time domain
  { 0x301, 0x1540, 0x0060},  // HEIZPROG_2_DO: 00:00-24:00
  { 0x301, 0x1541, 0x8080},  // HEIZPROG_2_DO_SCHALT_2: not used time domain
  { 0x301, 0x1542, 0x8080},  // HEIZPROG_2_DO_SCHALT_3: not used time domain
  { 0x301, 0x1550, 0x0060},  // HEIZPROG_2_FR: 00:00-24:00
  { 0x301, 0x1551, 0x8080},  // HEIZPROG_2_FR_SCHALT_2: not used time domain
  { 0x301, 0x1552, 0x8080},  // HEIZPROG_2_FR_SCHALT_3: not used time domain
  { 0x301, 0x1560, 0x0060},  // HEIZPROG_2_SA: 00:00-24:00
  { 0x301, 0x1561, 0x8080},  // HEIZPROG_2_SA_SCHALT_2: not used time domain
  { 0x301, 0x1562, 0x8080},  // HEIZPROG_2_SA_SCHALT_3: not used time domain
  { 0x301, 0x1570, 0x0060},  // HEIZPROG_2_SO: 00:00-24:00
  { 0x301, 0x1571, 0x8080},  // HEIZPROG_2_SO_SCHALT_2: not used time domain
  { 0x301, 0x1572, 0x8080},  // HEIZPROG_2_SO_SCHALT_3: not used time domain
  { 0x301, 0x1580, 0x0060},  // HEIZPROG_2_MO_FR: 96
  { 0x301, 0x1581, 0x8080},  // HEIZPROG_2_MO_FR_SCHALT_2: -32640
  { 0x301, 0x1582, 0x8080},  // HEIZPROG_2_MO_FR_SCHALT_3: -32640
  { 0x301, 0x1590, 0x0060},  // HEIZPROG_2_SA_SO: 96
  { 0x301, 0x1591, 0x8080},  // HEIZPROG_2_SA_SO_SCHALT_2: -32640
  { 0x301, 0x1592, 0x8080},  // HEIZPROG_2_SA_SO_SCHALT_3: -32640
  { 0x301, 0x15a0, 0x0060},  // HEIZPROG_2_MO_SO: 96
  { 0x301, 0x15a1, 0x8080},  // HEIZPROG_2_MO_SO_SCHALT_2: -32640
  { 0x301, 0x15a2, 0x8080},  // HEIZPROG_2_MO_SO_SCHALT_3: -32640
  { 0x301, 0x1610, 0x0060},  // HEIZPROG_3_MO: 00:00-24:00
  { 0x301, 0x1611, 0x8080},  // HEIZPROG_3_MO_SCHALT_2: not used time domain
  { 0x301, 0x1612, 0x8080},  // HEIZPROG_3_MO_SCHALT_3: not used time domain
  { 0x301, 0x1620, 0x0060},  // HEIZPROG_3_DI: 00:00-24:00
  { 0x301, 0x1621, 0x8080},  // HEIZPROG_3_DI_SCHALT_2: not used time domain
  { 0x301, 0x1622, 0x8080},  // HEIZPROG_3_DI_SCHALT_3: not used time domain
  { 0x301, 0x1630, 0x0060},  // HEIZPROG_3_MI: 00:00-24:00
  { 0x301, 0x1631, 0x8080},  // HEIZPROG_3_MI_SCHALT_2: not used time domain
  { 0x301, 0x1632, 0x8080},  // HEIZPROG_3_MI_SCHALT_3: not used time domain
  { 0x301, 0x1640, 0x0060},  // HEIZPROG_3_DO: 00:00-24:00
  { 0x301, 0x1641, 0x8080},  // HEIZPROG_3_DO_SCHALT_2: not used time domain
  { 0x301, 0x1642, 0x8080},  // HEIZPROG_3_DO_SCHALT_3: not used time domain
  { 0x301, 0x1650, 0x0060},  // HEIZPROG_3_FR: 00:00-24:00
  { 0x301, 0x1651, 0x8080},  // HEIZPROG_3_FR_SCHALT_2: not used time domain
  { 0x301, 0x1652, 0x8080},  // HEIZPROG_3_FR_SCHALT_3: not used time domain
  { 0x301, 0x1660, 0x0060},  // HEIZPROG_3_SA: 00:00-24:00
  { 0x301, 0x1661, 0x8080},  // HEIZPROG_3_SA_SCHALT_2: not used time domain
  { 0x301, 0x1662, 0x8080},  // HEIZPROG_3_SA_SCHALT_3: not used time domain
  { 0x301, 0x1670, 0x0060},  // HEIZPROG_3_SO: 00:00-24:00
  { 0x301, 0x1671, 0x8080},  // HEIZPROG_3_SO_SCHALT_2: not used time domain
  { 0x301, 0x1672, 0x8080},  // HEIZPROG_3_SO_SCHALT_3: not used time domain
  { 0x301, 0x1680, 0x0060},  // HEIZPROG_3_MO_FR: 96
  { 0x301, 0x1681, 0x8080},  // HEIZPROG_3_MO_FR_SCHALT_2: -32640
  { 0x301, 0x1682, 0x8080},  // HEIZPROG_3_MO_FR_SCHALT_3: -32640
  { 0x301, 0x1690, 0x0060},  // HEIZPROG_3_SA_SO: 96
  { 0x301, 0x1691, 0x8080},  // HEIZPROG_3_SA_SO_SCHALT_2: -32640
  { 0x301, 0x1692, 0x8080},  // HEIZPROG_3_SA_SO_SCHALT_3: -32640
  { 0x301, 0x16a0, 0x0060},  // HEIZPROG_3_MO_SO: 96
  { 0x301, 0x16a1, 0x8080},  // HEIZPROG_3_MO_SO_SCHALT_2: -32640
  { 0x301, 0x16a2, 0x8080},  // HEIZPROG_3_MO_SO_SCHALT_3: -32640
  { 0x301, 0x1710, 0x0060},  // W_WASSERPROG_1_MO: 00:00-24:00
  { 0x301, 0x1711, 0x8080},  // W_WASSERPROG_1_MO_SCHALT_2: not used time domain
  { 0x301, 0x1712, 0x8080},  // W_WASSERPROG_1_MO_SCHALT_3: not used time domain
  { 0x301, 0x1720, 0x0060},  // W_WASSERPROG_1_DI: 00:00-24:00
  { 0x301, 0x1721, 0x8080},  // W_WASSERPROG_1_DI_SCHALT_2: not used time domain
  { 0x301, 0x1722, 0x8080},  // W_WASSERPROG_1_DI_SCHALT_3: not used time domain
  { 0x301, 0x1730, 0x0060},  // W_WASSERPROG_1_MI: 00:00-24:00
  { 0x301, 0x1731, 0x8080},  // W_WASSERPROG_1_MI_SCHALT_2: not used time domain
  { 0x301, 0x1732, 0x8080},  // W_WASSERPROG_1_MI_SCHALT_3: not used time domain
  { 0x301, 0x1740, 0x0060},  // W_WASSERPROG_1_DO: 00:00-24:00
  { 0x301, 0x1741, 0x8080},  // W_WASSERPROG_1_DO_SCHALT_2: not used time domain
  { 0x301, 0x1742, 0x8080},  // W_WASSERPROG_1_DO_SCHALT_3: not used time domain
  { 0x301, 0x1750, 0x0060},  // W_WASSERPROG_1_FR: 00:00-24:00
